Time,Series 1,Series 2,Series 3
1/3/2014,52.6062,0.2121,6.002
2/3/2014,51.5882,0.2192,5.9256
3/3/2014,51.8866,0.2073,5.8936
4/3/2014,51.439,0.2206,5.9165
5/3/2014,52.0797,0.2671,6.2868
8/3/2014,51.8866,0.2684,6.2723
9/3/2014,51.9568,0.2728,6.311
10/3/2014,51.711,0.2745,6.2932
11/3/2014,51.5618,0.2791,6.307
12/3/2014,53.0802,0.2731,6.4493
15/03/2014,53.0626,0.2592,6.3508
16/03/2014,52.8695,0.2602,6.3344
17/03/2014,52.6062,0.2625,6.3183
18/03/2014,52.2025,0.2628,6.2718
22/03/2014,52.1323,0.2594,6.2406
23/03/2014,51.8076,0.2643,6.235
24/03/2014,52.4044,0.2614,6.2865
25/03/2014,51.9743,0.2626,6.2431
26/03/2014,52.5448,0.2709,6.3693
29/03/2014,52.3415,0.2792,6.4026
30/03/2014,51.5988,0.2837,6.3437
31/03/2014,51.9966,0.2744,6.327
1/4/2014,50.6793,0.2827,6.2236
2/4/2014,51.0506,0.2596,6.1128
5/4/2014,51.4573,0.2586,6.1544
6/4/2014,52.4122,0.2534,6.234
7/4/2014,54.6314,0.2388,6.3995
8/4/2014,55.3387,0.1805,6.1445
9/4/2014,54.7021,0.1755,6.0507
12/4/2014,55.0558,0.2201,6.33
13/04/2014,55.9841,0.2197,6.4339
14/04/2014,56.7976,0.2082,6.457
15/04/2014,56.2317,0.2032,6.3637
16/04/2014,56.5588,0.2081,6.429
19/04/2014,56.2317,0.215,6.4336
20/04/2014,56.5235,0.2147,6.4652
21/04/2014,56.6826,0.2144,6.4815
22/04/2014,56.2317,0.2164,6.4419
23/04/2014,55.8781,0.216,6.3991
26/04/2014,56.3997,0.212,6.4345
27/04/2014,55.3122,0.2258,6.3948
28/04/2014,54.4369,0.2179,6.245
29/04/2014,54.1451,0.2087,6.1585
30/04/2014,54.4634,0.2053,6.1752
3/5/2014,54.1186,0.2099,6.1619
4/5/2014,54.8524,0.2136,6.2674
5/5/2014,54.6491,0.213,6.2407
6/5/2014,54.6137,0.2252,6.3104
7/5/2014,54.1098,0.2274,6.2658
10/5/2014,54.5165,0.2231,6.2859
11/5/2014,54.5165,0.2215,6.2763
12/5/2014,56.6207,0.2133,6.4675
13/05/2014,56.046,0.1663,6.1589
14/05/2014,56.1521,0.1626,6.1551
17/05/2014,56.1079,0.1806,6.2305
18/05/2014,57.0628,0.3139,7.2587
19/05/2014,57.9293,0.3191,7.4127
20/05/2014,57.496,0.3413,7.5469
21/05/2014,57.8497,0.3571,7.7327
25/05/2014,57.7082,0.3623,7.7602
26/05/2014,58.0796,0.3603,7.7921
27/05/2014,58.1857,0.3691,7.8862
28/05/2014,57.1512,0.3789,7.8337
31/05/2014,57.7171,0.3729,7.8567
1/6/2014,57.5226,0.3806,7.8993
2/6/2014,57.6905,0.3808,7.9243
3/6/2014,57.2485,0.3879,7.9278
4/6/2014,56.4439,0.3926,7.8588
7/6/2014,55.9399,0.3967,7.8254
8/6/2014,54.8878,0.4027,7.7302
9/6/2014,54.7905,0.3963,7.661
10/6/2014,55.0116,0.3947,7.6777
11/6/2014,55.0646,0.3942,7.6809
14/06/2014,55.1442,0.3941,7.6912
15/06/2014,55.657,0.3908,7.7332
16/06/2014,55.4448,0.3914,7.7091
17/06/2014,56.6296,0.3829,7.7978
18/06/2014,52.6951,0.4038,7.4307
21/06/2014,50.9357,0.2884,6.2952
22/06/2014,52.6244,0.236,6.1465
23/06/2014,54.1098,0.2032,6.1236
24/06/2014,54.9408,0.177,6.0838
25/06/2014,54.5844,0.1787,6.0522
29/06/2014,53.0608,0.1812,5.8947
30/06/2014,53.631,0.158,5.8614
1/7/2014,53.9785,0.1576,5.8982
2/7/2014,55.0923,0.1566,6.0161
5/7/2014,55.4844,0.1481,6.0292
6/7/2014,56.313,0.1448,6.1087
7/7/2014,56.2774,0.1374,6.083
8/7/2014,57.1328,0.1361,6.1719
9/7/2014,57.1862,0.1267,6.1543
12/7/2014,56.9902,0.1272,6.1344
13/07/2014,56.9011,0.1263,6.1228
14/07/2014,56.9635,0.1261,6.129
15/07/2014,56.7496,0.1268,6.1076
16/07/2014,57.0615,0.1249,6.1371
19/07/2014,56.91,0.1244,6.1198
20/07/2014,57.1417,0.1231,6.1419
21/07/2014,57.3199,0.1223,6.1596
22/07/2014,57.115,0.1274,6.1481
23/07/2014,56.9991,0.128,6.1371
26/07/2014,56.8477,0.1276,6.12
27/07/2014,56.714,0.1289,6.1085
28/07/2014,57.6139,0.1259,6.1986
29/07/2014,57.5248,0.1166,6.1712
30/07/2014,59.0752,0.1149,6.3347
2/8/2014,58.897,0.0719,6.2862
3/8/2014,58.6921,0.0786,6.2652
4/8/2014,58.1664,0.0805,6.2095
5/8/2014,58.3268,0.0787,6.2262
6/8/2014,58.202,0.0791,6.213
9/8/2014,58.5584,0.0786,6.2509
10/8/2014,58.5495,0.0887,6.253
11/8/2014,58.7099,0.0905,6.2709
12/8/2014,58.7634,0.091,6.2769
13/08/2014,58.6832,0.093,6.2694
16/08/2014,58.6297,0.0964,6.2659
17/08/2014,58.603,0.0969,6.2634
18/08/2014,58.7634,0.1255,6.3213
19/08/2014,58.8703,0.1286,6.34
20/08/2014,59.0039,0.1294,6.3562
23/08/2014,59.6544,0.1395,6.454
24/08/2014,60.1445,0.1419,6.5148
25/08/2014,60.1445,0.1388,6.505
26/08/2014,59.8861,0.1429,6.4898
27/08/2014,60.1356,0.152,6.5489
31/08/2014,60.091,0.1518,6.5432
1/9/2014,59.8415,0.1527,6.5193
2/9/2014,59.9217,0.1532,6.5301
3/9/2014,59.3871,0.156,6.4826
6/9/2014,59.7524,0.1516,6.5055
7/9/2014,59.2802,0.1535,6.4615
8/9/2014,59.1643,0.1514,6.4408
9/9/2014,59.3782,0.152,6.4665
10/9/2014,58.6475,0.1556,6.4003
13/09/2014,58.9772,0.1495,6.4137
14/09/2014,59.2178,0.1487,6.437
15/09/2014,59.5564,0.1477,6.4704
16/09/2014,60.0464,0.1465,6.5193
17/09/2014,59.9217,0.1451,6.5011
20/09/2014,58.6119,0.1484,6.3699
21/09/2014,59.1287,0.12,6.3493
22/09/2014,59.4405,0.118,6.3792
23/09/2014,58.4961,0.1194,6.2803
24/09/2014,59.3336,0.1013,6.3451
27/09/2014,59.2623,0.0945,6.3322
28/09/2014,59.7739,0.0955,6.3875
29/09/2014,60.7522,0.097,6.4932
30/09/2014,60.9137,0.1305,6.5649
1/10/2014,61.1292,0.13,6.5868
4/10/2014,61.6048,0.1936,6.9137
5/10/2014,61.3087,0.2398,7.1891
6/10/2014,61.1471,0.2386,7.1613
7/10/2014,60.7971,0.2598,7.2811
8/10/2014,60.5996,0.2588,7.2495
11/10/2014,60.2855,0.2799,7.3806
12/10/2014,60.7612,0.275,7.3986
13/10/2014,61.3446,0.2746,7.4658
14/10/2014,61.2638,0.2747,7.4571
15/10/2014,61.4702,0.2727,7.4655
18/10/2014,61.8113,0.2711,7.4939
19/10/2014,61.7484,0.2722,7.4955
20/10/2014,62.0446,0.2731,7.5386
21/10/2014,62.1344,0.2727,7.5467
22/10/2014,62.0267,0.2747,7.5498
25/10/2014,62.1613,0.2761,7.5782
26/10/2014,61.901,0.2786,7.5674
27/10/2014,61.6407,0.2801,7.548
28/10/2014,61.3715,0.2783,7.4998
29/10/2014,60.815,0.2776,7.4259
1/11/2014,62.7177,0.2622,7.5302
